Artist,Song Title,Video ID,View Count,Thumbnail URL
J Cole,Revenge Of The Dreamers,ihG_PPhOvl0,4216090,https://i.ytimg.com/vi/ihG_PPhOvl0/default.jpg
J. Cole,Cole Summer,xluv3kXkH8g,3863150,https://i.ytimg.com/vi/xluv3kXkH8g/default.jpg
J. Cole,"Freestyles Over ""93 Til Infinity"" & Mike Jones' ""Still Tippin""",YlpN3S16ZAs,21812746,https://i.ytimg.com/vi/YlpN3S16ZAs/default.jpg
J. Cole,Heaven's EP,YHwUmMl1crE,23241842,https://i.ytimg.com/vi/YHwUmMl1crE/default.jpg
J. Cole,The Cure,Ev-pvkfksOE,3012200,https://i.ytimg.com/vi/Ev-pvkfksOE/default.jpg
Little Mix,Love Me Like You (TikTok version),y_DoG8_ipVg,1602338,https://i.ytimg.com/vi/y_DoG8_ipVg/default.jpg
"Charlotte Lawrence, Nina Nesbitt & Sasha Sloan",Girls Just Wanna Have Fun,3gECzgJIx-I,547430,https://i.ytimg.com/vi/3gECzgJIx-I/default.jpg
Wrytzy ,I Will Find The Hood,wQvZIHiXLOg,1246305,https://i.ytimg.com/vi/wQvZIHiXLOg/default.jpg
Empire of the Sun x Lil Baby & Drake,Walking On A Dream x Yes Indeed (JStrain Mashup),OxnxJpFAzqg,4792988,https://i.ytimg.com/vi/OxnxJpFAzqg/default.jpg
Frank Ocean ,American Boy (Shibuya Chanel Remix),kKS-Rz2Gr8A,6622337,https://i.ytimg.com/vi/kKS-Rz2Gr8A/default.jpg
Britney Spears (feat. Kanye West),Toxic But It's Power,R3jkmduoVQE,3127026,https://i.ytimg.com/vi/R3jkmduoVQE/default.jpg
Lana Del Rey,Queen of Disaster,C68XuFJGvjU,6215263,https://i.ytimg.com/vi/C68XuFJGvjU/default.jpg
Doja Cat,Freak,zqheLGjl5eA,10225495,https://i.ytimg.com/vi/zqheLGjl5eA/default.jpg
Ayesha Erotica,Emo Boy,tVbGH8Ea3FU,1048743,https://i.ytimg.com/vi/tVbGH8Ea3FU/default.jpg
Post Malone ,Better Now,5X23me20uA4,10355233,https://i.ytimg.com/vi/5X23me20uA4/default.jpg
"Earth, Wind & Fire x Post Malone",September Congratulations,fzRrPJZ1u3g,14615518,https://i.ytimg.com/vi/fzRrPJZ1u3g/default.jpg
Nightcore,Gamez (Video Game Lover),B58qAt0RKYQ,1793537,https://i.ytimg.com/vi/B58qAt0RKYQ/default.jpg
The Bloody Beetroots,Dimmakmmunication,lpMvqmVZSXk,66703,https://i.ytimg.com/vi/lpMvqmVZSXk/default.jpg
Simple Plan ,What's new Scooby Doo (Long Version),8FQiAj5mdHY,2342158,https://i.ytimg.com/vi/8FQiAj5mdHY/default.jpg
The Cataracs (ft. DEV),Top Of The World,33lLpK2KPCQ,41345293,https://i.ytimg.com/vi/33lLpK2KPCQ/default.jpg
JoJo,Too Little Too Late,SWHoys0jvB8,367627,https://i.ytimg.com/vi/SWHoys0jvB8/default.jpg
Kid Cudi (Feat. Kanye West & Common),I Poke Her Face,3cDE3Gwn5ZM,4028500,https://i.ytimg.com/vi/3cDE3Gwn5ZM/default.jpg
Yiruma ,River Flows in You,6zodLr_U5F8,6815319,https://i.ytimg.com/vi/6zodLr_U5F8/default.jpg
"Santogold, Julian Casablancas, N.E.R.D",My Drive Thru,GPZ5fnYFI4Q,5171276,https://i.ytimg.com/vi/GPZ5fnYFI4Q/default.jpg
THEY MIGHT BE GIANTS,Istanbul (Not Constantinople),vsQrKZcYtqg,10496983,https://i.ytimg.com/vi/vsQrKZcYtqg/default.jpg
HUGEL feat. Amber van Day,WTF,1CptfMEEC8g,42376376,https://i.ytimg.com/vi/1CptfMEEC8g/default.jpg
Doja Cat ft. Gucci Mane,Like That,ha814904EFM,9645291,https://i.ytimg.com/vi/ha814904EFM/default.jpg
Imagine Dragons (Romy Wave Cover) ,Believer (NSG Remix),QDX-1GuF2Gs,84236505,https://i.ytimg.com/vi/QDX-1GuF2Gs/default.jpg
Charlie Puth,Betty Boop (_Blan Kato remix),j7ZggaUbVlI,50496451,https://i.ytimg.com/vi/j7ZggaUbVlI/default.jpg
Fly Boy Fu,Laffy Taffy (Remix),b7KsQXE4JbY,232397,https://i.ytimg.com/vi/b7KsQXE4JbY/default.jpg
Jack Stauber and Lil Keed (feat. Young Thug),Buttercup X Hood Baby,gs8MMefFhu4,1537082,https://i.ytimg.com/vi/gs8MMefFhu4/default.jpg
Megan Thee Stallion x Greenday,Savage Brain,UM-kbigi74M,320620,https://i.ytimg.com/vi/UM-kbigi74M/default.jpg
Fujiwara Chika,dance,qL4yWQmMCb0,6279692,https://i.ytimg.com/vi/qL4yWQmMCb0/default.jpg
Billie Eilish & Khalid (HOPEX Remix),lovely,CEwuXexraho,39460720,https://i.ytimg.com/vi/CEwuXexraho/default.jpg
WA&P (unknown),Rihanna vs. Cardi B feat. Megan Thee Stallion (Mashup),fw0R3-7i1lg,8915615,https://i.ytimg.com/vi/fw0R3-7i1lg/default.jpg
Eminem and Lou Bega,Mambo n° 8 Mile,jzG5Pkj08QU,975337,https://i.ytimg.com/vi/jzG5Pkj08QU/default.jpg
Steven Universe (B3AKY Remix),Let Us Adore You,e684-x2QR-o,22813680,https://i.ytimg.com/vi/e684-x2QR-o/default.jpg
Baby Shark ft. Nicki Minaj,Full Song,jzHLc1q0Qs4,783341,https://i.ytimg.com/vi/jzHLc1q0Qs4/default.jpg
Remy Ma (featuring Nicki Minaj),Sheether (Nicki Minaj Diss track),B1AfWEovij8,3017037,https://i.ytimg.com/vi/B1AfWEovij8/default.jpg
Salem Ilese,Mad At Disney,h9yS-37Aya8,365667,https://i.ytimg.com/vi/h9yS-37Aya8/default.jpg
Madeon,Pop Culture (live mashup),lTx3G6h2xyA,59443638,https://i.ytimg.com/vi/lTx3G6h2xyA/default.jpg
cinnamons × evening cinema,summertime,KMTo2LmixqQ,25683829,https://i.ytimg.com/vi/KMTo2LmixqQ/default.jpg
Inaba Cumori ft. Kaai Yuki,Lost Umbrella (ロストアンブレラ),Yvs7gfWqNSE,13450228,https://i.ytimg.com/vi/Yvs7gfWqNSE/default.jpg
Doja Cat,Say So,PGBeV-Hlqaw,3139447,https://i.ytimg.com/vi/PGBeV-Hlqaw/default.jpg
DJP,"Americano (DJP Mashup) ""TikTok""",-gLmZieHr9w,6243070,https://i.ytimg.com/vi/-gLmZieHr9w/default.jpg
"Pop Smoke, Nirvana",Smells Like Drill Spirit,9oEOtsRKmdQ,29577437,https://i.ytimg.com/vi/9oEOtsRKmdQ/default.jpg
