Artist,Song Title,Video ID,View Count,Thumbnail URL
Space and the Woods - Marina and the Diamonds (Studio Version),UBCgA4EA47k,341346,https://i.ytimg.com/vi/UBCgA4EA47k/default.jpg
Marina & The Diamonds - I Am Not A Robot (Audio Demo ll),slJBtQunAP4,890,https://i.ytimg.com/vi/slJBtQunAP4/default.jpg
Marina and the Diamonds - Bad Kidz (Lyrics in Description),ULnc8Abx3rI,62203,https://i.ytimg.com/vi/ULnc8Abx3rI/default.jpg
Billie Eilish - Silver Bells (Lyrics),bp-rxTpce7E,13664,https://i.ytimg.com/vi/bp-rxTpce7E/default.jpg
billie eilish - call me back (lyric video),sX3EIJwOPxY,225014,https://i.ytimg.com/vi/sX3EIJwOPxY/default.jpg
Bound 1 - Kanye West (original version),7sMMHm_dRwc,807571,https://i.ytimg.com/vi/7sMMHm_dRwc/default.jpg
Kanye West - By Your Side (feat. Frank Ocean),pZy4MzTXbtI,103538,https://i.ytimg.com/vi/pZy4MzTXbtI/default.jpg
Half-Cocked - Ethel Cain Lyrics,NxPagecG2lQ,163136,https://i.ytimg.com/vi/NxPagecG2lQ/default.jpg
Ethel Cain - Two Children in a Motel (demo),JFSLEN1wybI,105658,https://i.ytimg.com/vi/JFSLEN1wybI/default.jpg
Powerline Valley (demo) - Ethel Cain lyrics,1dcM3DyJBA4,86580,https://i.ytimg.com/vi/1dcM3DyJBA4/default.jpg
doe hunting (demo) – ethel cain,nLWDzIhJDIA,5965,https://i.ytimg.com/vi/nLWDzIhJDIA/default.jpg
Ethel Cain - nettles (demo),p46RDcZrfrM,15791,https://i.ytimg.com/vi/p46RDcZrfrM/default.jpg
Ethel Cain - Whiteout (prod. Yah Wav),3Jsp7bD2P3w,2539,https://i.ytimg.com/vi/3Jsp7bD2P3w/default.jpg
Gold Cross (demo) - Ethel Cain lyrics,2-y7u5wvf6s,30407,https://i.ytimg.com/vi/2-y7u5wvf6s/default.jpg
Linkin Park - Qwerty (Rare Song),B9W8-Wtlsws,53245,https://i.ytimg.com/vi/B9W8-Wtlsws/default.jpg
Linkin Park - So Far Away (Unreleased 1998) LPU 12,hXltnS-M17o,239522,https://i.ytimg.com/vi/hXltnS-M17o/default.jpg
The Visionaries & Linkin Park – Unreleased [Demo],DXPZYFfUEj4,49273,https://i.ytimg.com/vi/DXPZYFfUEj4/default.jpg
nessa barrett - our love (unreleased),JgdZnClSV2M,987,https://i.ytimg.com/vi/JgdZnClSV2M/default.jpg
Greta Van Fleet - Black Flag Exposition / Watch Me (2020),KGFYZvc6e7E,36856,https://i.ytimg.com/vi/KGFYZvc6e7E/default.jpg
Harry Styles - Don't Let Me Go (Letra en Español e Inglés),BJve_mUaBMI,1171041,https://i.ytimg.com/vi/BJve_mUaBMI/default.jpg
Commando Girls (Live) – Oingo Boingo | Madame Wong's 1980,3bdiLFvNDoc,8034,https://i.ytimg.com/vi/3bdiLFvNDoc/default.jpg
Freak Show – Oingo Boingo | Good For Your Soul Unreleased 1983,VtDWQANhTus,11123,https://i.ytimg.com/vi/VtDWQANhTus/default.jpg
Difficult Lyrics (Proof Tribute),sOt_2mCTjR8,825162,https://i.ytimg.com/vi/sOt_2mCTjR8/default.jpg
Eminem - Hazardous Youth (Acapella),vTb33fuZtMc,328645,https://i.ytimg.com/vi/vTb33fuZtMc/default.jpg
Eminem - Stir Crazy (Rare track) Lyrics on Screen,N0wAghZiDPU,58719,https://i.ytimg.com/vi/N0wAghZiDPU/default.jpg
Burial - Untitled 10 2011 Barcelona Primavera Sound Kode9 Live Set,2_Oa2VEHzIE,20430,https://i.ytimg.com/vi/2_Oa2VEHzIE/default.jpg
Your Love Means Everything by Coldplay,rK7qh4Trh_s,1003295,https://i.ytimg.com/vi/rK7qh4Trh_s/default.jpg
Queen - Back To Storm (Mixed Version),22Dcsn2p3WM,10180,https://i.ytimg.com/vi/22Dcsn2p3WM/default.jpg
Queen  - Lost in Soul (Demo),qEzeXGZfiYA,88247,https://i.ytimg.com/vi/qEzeXGZfiYA/default.jpg
American Boy - Taylor Swift,yLSXcaBW_Dg,16512,https://i.ytimg.com/vi/yLSXcaBW_Dg/default.jpg
Taylor Swift - Till Brad Pitt Comes Along (sub español) Rare Song,HCKf6Ic7yzM,91121,https://i.ytimg.com/vi/HCKf6Ic7yzM/default.jpg
Taylor Swift - Superstar (original version + rare pictures),LVmm8BbvJEg,75081,https://i.ytimg.com/vi/LVmm8BbvJEg/default.jpg
Taylor Swift-You don't have to call me,xxnNtPvuXXg,38907,https://i.ytimg.com/vi/xxnNtPvuXXg/default.jpg
Taylor Swift - Just South Of Knowing Why (Sub Español),3wDA2HHrR18,39847,https://i.ytimg.com/vi/3wDA2HHrR18/default.jpg
Taylor Swift - Tied Together With A Smile (Demo),rg632wjLh4Q,30896,https://i.ytimg.com/vi/rg632wjLh4Q/default.jpg
Tyler Joseph - Dollhouse (Unreleased Track),OlnzusQeLko,988358,https://i.ytimg.com/vi/OlnzusQeLko/default.jpg
Jon Connor - I'M BACK. (feat. Intro by Dr. Dre) [Official Audio],3h1sWbFhPAI,429708,https://i.ytimg.com/vi/3h1sWbFhPAI/default.jpg
Dr. Dre - Equinox ft. Kurupt,7iP7pB21xX4,248217,https://i.ytimg.com/vi/7iP7pB21xX4/default.jpg
Brandy   Porcelain,Wljl1DNY9n0,15084,https://i.ytimg.com/vi/Wljl1DNY9n0/default.jpg
Brandy feat. Posta Boy - Ryde Or Die,qJj0K8hRbH4,72849,https://i.ytimg.com/vi/qJj0K8hRbH4/default.jpg
Brandy   Take Me Back,kqIRzuB16zY,7864,https://i.ytimg.com/vi/kqIRzuB16zY/default.jpg
Ken Carson - BackPack 「 prod. outtatown + starboy + loesoe 」,eHkyoOWRTFw,51325,https://i.ytimg.com/vi/eHkyoOWRTFw/default.jpg
Juice WRLD - Lost Too Many (Goblin) (Instrumental),T7MNXolgF1Y,20037,https://i.ytimg.com/vi/T7MNXolgF1Y/default.jpg
Hozier - Do I Wanna Know (Arctic Monkeys cover in the Live Lounge),fuWq4RZnc6U,10370270,https://i.ytimg.com/vi/fuWq4RZnc6U/default.jpg
Hozier performs James Carr's 'The Dark End Of The Street'   Cover Stories,oNiCYt20ang,188987,https://i.ytimg.com/vi/oNiCYt20ang/default.jpg
Hozier - Jungle Love/Problem (cover) - 2.20.15,hQTiGtLRz6Y,64631,https://i.ytimg.com/vi/hQTiGtLRz6Y/default.jpg
"Thom Yorke – Boggle Eyes (Acoustic, Lo-fi)",KtBJHEbcPjs,978,https://i.ytimg.com/vi/KtBJHEbcPjs/default.jpg
flowers - pinkpantheress (demo? teaser?),zYG05MBzdZc,97004,https://i.ytimg.com/vi/zYG05MBzdZc/default.jpg
Pink Pantheress - Broken *UNRELEASED SONG* (EXTENDED EDIT),QsNl5lkqfWQ,43271,https://i.ytimg.com/vi/QsNl5lkqfWQ/default.jpg
PinkPantheress - Danger (unreleased),0Yhb5zX6Pck,78467,https://i.ytimg.com/vi/0Yhb5zX6Pck/default.jpg
PinkPantheress - Phelia (unreleased),UmWBwd2BQYo,58236,https://i.ytimg.com/vi/UmWBwd2BQYo/default.jpg
Nirvana - Horrified,eIrjagZlHe0,168565,https://i.ytimg.com/vi/eIrjagZlHe0/default.jpg
Ethel Cain - Golden Age (Piano Version),v1U6uHwBt4s,7184,https://i.ytimg.com/vi/v1U6uHwBt4s/default.jpg
Hospital Beds ii - Ethel Cain Lyrics,SHzlJx2ddl8,31063,https://i.ytimg.com/vi/SHzlJx2ddl8/default.jpg
𝔢𝔱𝔥𝔢𝔩 † 𝔠𝔞𝔦𝔫 -  Independence Day (prod. Little Triste),2a-N8jxtrJM,5869,https://i.ytimg.com/vi/2a-N8jxtrJM/default.jpg
𝖜𝖊𝖘𝖙𝖊𝖗𝖓 𝖓𝖎𝖌𝖍𝖙𝖘 (𝖉𝖊𝖒𝖔) - 𝖜𝖍𝖎𝖙𝖊 𝖘𝖎𝖑𝖆𝖘 // LYRIC VIDEO,c4Q_hxJokVQ,25053,https://i.ytimg.com/vi/c4Q_hxJokVQ/default.jpg
System Of A Down - Fortress Sexert Remastered,6_ysidA6K9M,93202,https://i.ytimg.com/vi/6_ysidA6K9M/default.jpg
System Of A Down  - Will They Die For You,phNqU_tb_44,74080,https://i.ytimg.com/vi/phNqU_tb_44/default.jpg
System Of A Down- Blue,uAjWetYEg-I,100180,https://i.ytimg.com/vi/uAjWetYEg-I/default.jpg
system of a down - Waiting for You (Version 1) - Untitled Ad,zGjG5tnlbXQ,19635,https://i.ytimg.com/vi/zGjG5tnlbXQ/default.jpg
system of a down - Therapy - Untitled Advance,z3UVziwuIfc,150137,https://i.ytimg.com/vi/z3UVziwuIfc/default.jpg
System of a Down- Good Bye Blue Sky #2,3YYrdDl4Uzw,33063,https://i.ytimg.com/vi/3YYrdDl4Uzw/default.jpg
System of a Down-Outro #4,jEnwH4SgXfY,13786,https://i.ytimg.com/vi/jEnwH4SgXfY/default.jpg
System of a Down-La Isla Bonita #5,2T6rl_0_cME,61446,https://i.ytimg.com/vi/2T6rl_0_cME/default.jpg
System of a Down-Tired in living in the World #8,oIz1Pbtk5ss,17342,https://i.ytimg.com/vi/oIz1Pbtk5ss/default.jpg
Avril Lavigne - Bright (Official Audio),3CTv8TPDYuc,837139,https://i.ytimg.com/vi/3CTv8TPDYuc/default.jpg
Shelter - (Feat. Avril Lavigne) - MOD SUN,LTs6jZLikpM,3073,https://i.ytimg.com/vi/LTs6jZLikpM/default.jpg
Bones - 2014Flows (Unreleased CDQ Snippet),infyYCit-m4,10836,https://i.ytimg.com/vi/infyYCit-m4/default.jpg
Bones - DiamondsOnMyChain (CDQ Unreleased Remaster),e7cqQYx2k3k,5615,https://i.ytimg.com/vi/e7cqQYx2k3k/default.jpg
Bones - BothEyesClosed (Unreleased Full Song),3vWy30RenSY,5135,https://i.ytimg.com/vi/3vWy30RenSY/default.jpg
Bones - DarkOut (Unreleased),ppaDkAg0kpY,4811,https://i.ytimg.com/vi/ppaDkAg0kpY/default.jpg
